../..	.../.../..#
#./..	#.#/..#/...
##/..	#.#/..#/#.#
.#/#.	#../.../.##
##/#.	###/#.#/..#
##/##	#.#/.../#..
.../.../...	#..#/..../.##./....
#../.../...	..../.##./#.../.##.
.#./.../...	.#../####/..##/#...
##./.../...	##.#/..#./####/...#
#.#/.../...	##.#/##../#.#./.#..
###/.../...	#..#/#..#/##../##.#
.#./#../...	#.##/##../.#.#/..##
##./#../...	#.#./..../.###/.#.#
..#/#../...	..##/####/..##/....
#.#/#../...	..##/###./..##/#...
.##/#../...	#.../####/#..#/##..
###/#../...	...#/..../..##/#...
.../.#./...	##../##../..##/....
#../.#./...	#.../.#.#/.##./#..#
.#./.#./...	..##/#.../...#/###.
##./.#./...	####/.#.#/..##/####
#.#/.#./...	####/.#../#.##/#..#
###/.#./...	..#./#..#/.#.#/###.
.#./##./...	##../.#.#/#..#/#..#
##./##./...	.###/####/#..#/..##
..#/##./...	###./.#../..#./#.##
#.#/##./...	##../#.#./#.../.#.#
.##/##./...	#.../#.../.#.#/####
###/##./...	.#../####/#.../#.#.
.../#.#/...	.#../..../##../.###
#../#.#/...	.##./...#/.###/...#
.#./#.#/...	...#/#.../...#/####
##./#.#/...	#.##/..#./#..#/.#.#
#.#/#.#/...	#..#/..../..##/..#.
###/#.#/...	.#.#/#.#./##.#/#.#.
.../###/...	##../.##./###./###.
#../###/...	###./..##/.#../##.#
.#./###/...	.#../##../..../..##
##./###/...	#.#./...#/...#/##..
#.#/###/...	..../.#../#.../.#..
###/###/...	..#./.###/..../##.#
..#/.../#..	#.#./.#../...#/##.#
#.#/.../#..	...#/##.#/#.#./#...
.##/.../#..	...#/..##/#.##/##.#
###/.../#..	#..#/.#.#/.##./..#.
.##/#../#..	##../..#./#.##/##..
###/#../#..	..../###./#.#./##..
..#/.#./#..	#.#./.##./.##./#...
#.#/.#./#..	.#../#..#/#.#./#...
.##/.#./#..	.#.#/#..#/..#./....
###/.#./#..	#.##/####/#.../..#.
.##/##./#..	#.##/.#.#/..../.#..
###/##./#..	#.##/####/.###/##..
#../..#/#..	###./#.##/..#./..##
.#./..#/#..	##../.#../..#./..##
##./..#/#..	#..#/.#../..../##.#
#.#/..#/#..	.###/.##./..#./#.#.
.##/..#/#..	.#.#/..../####/.#..
###/..#/#..	.##./##../...#/.#..
#../#.#/#..	#.#./#.##/..../.###
.#./#.#/#..	####/#.#./.#../#.##
##./#.#/#..	..##/.###/###./..#.
..#/#.#/#..	.##./..#./..../#.#.
#.#/#.#/#..	.###/..../..../##..
.##/#.#/#..	#.#./#.../####/.###
###/#.#/#..	#.../..##/###./#..#
#../.##/#..	..../#.#./..##/.#.#
.#./.##/#..	..##/..##/#..#/###.
##./.##/#..	#.../.#../#.#./#.##
#.#/.##/#..	...#/#.../...#/###.
.##/.##/#..	###./..../..##/#..#
###/.##/#..	#.#./##.#/####/#.#.
#../###/#..	##../##../###./#..#
.#./###/#..	#.##/###./####/..##
##./###/#..	..../.###/###./.#..
..#/###/#..	.###/..../..#./....
#.#/###/#..	####/#..#/.#.#/..##
.##/###/#..	..../##.#/####/##.#
###/###/#..	#..#/.#.#/###./.##.
.#./#.#/.#.	#.##/...#/###./....
##./#.#/.#.	#..#/.#../..../#.#.
#.#/#.#/.#.	.#.#/####/..../.#.#
###/#.#/.#.	#.#./#.##/##.#/##..
.#./###/.#.	..#./..../##../####
##./###/.#.	#.##/##.#/#.##/.#..
#.#/###/.#.	.#.#/..##/##.#/####
###/###/.#.	.#../...#/#..#/#.#.
#.#/..#/##.	.##./..#./...#/##.#
###/..#/##.	..#./##.#/#..#/#..#
.##/#.#/##.	##.#/#.../#..#/...#
###/#.#/##.	##../.#../..../.##.
#.#/.##/##.	#.##/##.#/.#../.###
###/.##/##.	..../#.#./##../##.#
.##/###/##.	###./.#.#/.##./.###
###/###/##.	#..#/.###/#.../#...
#.#/.../#.#	.###/#.##/.#.#/#.#.
###/.../#.#	...#/##../...#/##.#
###/#../#.#	..../..#./..#./####
#.#/.#./#.#	##../#.##/...#/#...
###/.#./#.#	#.#./...#/.#../#...
###/##./#.#	.#../..#./...#/##..
#.#/#.#/#.#	####/#.##/.#../##..
###/#.#/#.#	#.../#.../###./.#..
#.#/###/#.#	####/.#.#/.##./.#.#
###/###/#.#	#.##/.#.#/##.#/..##
###/#.#/###	.###/#.##/..../..#.
###/###/###	.###/#..#/##../.##.
